,time,theta,psi
506,8.43333333333333000000E+00,1.26455127015763000000E+01,5.07869582789078000000E-03
507,8.45000000000000000000E+00,1.26502916811440000000E+01,5.62269047470787000000E-03
508,8.46666666666667000000E+00,1.26562090690091000000E+01,6.52221944828663000000E-03
509,8.48333333333333000000E+00,1.26621879985400000000E+01,7.44096839307995000000E-03
510,8.50000000000000000000E+00,1.26681669280709000000E+01,8.35971733787344000000E-03
511,8.51666666666667000000E+00,1.26741458576018000000E+01,9.27846628266688000000E-03
512,8.53333333333333000000E+00,1.26803906801321000000E+01,1.02995987270359000000E-02
513,8.55000000000000000000E+00,1.26880064115487000000E+01,1.18486068570638000000E-02
514,8.56666666666667000000E+00,1.26956221429653000000E+01,1.33976149870916000000E-02
515,8.58333333333333000000E+00,1.27032378743819000000E+01,1.49466231171196000000E-02
516,8.60000000000000000000E+00,1.27108536057985000000E+01,1.64956312471474000000E-02
517,8.61666666666667000000E+00,1.27193204020718000000E+01,1.84573198596794000000E-02
518,8.63333333333333000000E+00,1.27291985197114000000E+01,2.11033567659284000000E-02
519,8.65000000000000000000E+00,1.27390766373511000000E+01,2.37493936721780000000E-02
520,8.66666666666667000000E+00,1.27489547549908000000E+01,2.63954305784273000000E-02
521,8.68333333333333000000E+00,1.27588328726305000000E+01,2.90414674846768000000E-02
522,8.70000000000000000000E+00,1.27697728608759000000E+01,3.23399552502068000000E-02
523,8.71666666666667000000E+00,1.27827547938728000000E+01,3.68930860960202000000E-02
524,8.73333333333333000000E+00,1.27957367268697000000E+01,4.14462169418330000000E-02
525,8.75000000000000000000E+00,1.28087186598666000000E+01,4.59993477876464000000E-02
526,8.76666666666667000000E+00,1.28217005928634000000E+01,5.05524786334597000000E-02
527,8.78333333333333000000E+00,1.28359822665381000000E+01,5.61018828647715000000E-02
528,8.80000000000000000000E+00,1.28531833765267000000E+01,6.38890847968003000000E-02
529,8.81666666666667000000E+00,1.28703844865154000000E+01,7.16762867288283000000E-02
530,8.83333333333333000000E+00,1.28875855965040000000E+01,7.94634886608572000000E-02
531,8.85000000000000000000E+00,1.29047867064927000000E+01,8.72506905928851000000E-02
532,8.86666666666667000000E+00,1.29235511017267000000E+01,9.64906886786352000000E-02
533,8.88333333333333000000E+00,1.29464577747497000000E+01,1.09580198718354000000E-01
534,8.90000000000000000000E+00,1.29693644477728000000E+01,1.22669708758073000000E-01
535,8.91666666666667000000E+00,1.29922711207958000000E+01,1.35759218797792000000E-01
536,8.93333333333333000000E+00,1.30151777938189000000E+01,1.48848728837511000000E-01
537,8.95000000000000000000E+00,1.30399045922857000000E+01,1.63861516838388000000E-01
538,8.96666666666667000000E+00,1.30703973080016000000E+01,1.84966995652609000000E-01
539,8.98333333333333000000E+00,1.31008900237175000000E+01,2.06072474466826000000E-01
540,9.00000000000000000000E+00,1.31313827394333000000E+01,2.27177953281046000000E-01
541,9.01666666666667000000E+00,1.31618754551492000000E+01,2.48283432095267000000E-01
542,9.03333333333333000000E+00,1.31944307435405000000E+01,2.71496182847994000000E-01
543,9.05000000000000000000E+00,1.32349423415752000000E+01,3.02837669254775000000E-01
544,9.06666666666667000000E+00,1.32754539396100000000E+01,3.34179155661555000000E-01
545,9.08333333333333000000E+00,1.33159655376448000000E+01,3.65520642068336000000E-01
546,9.10000000000000000000E+00,1.33564771356795000000E+01,3.96862128475117000000E-01
547,9.11666666666667000000E+00,1.33990743440297000000E+01,4.29434946436484000000E-01
548,9.13333333333333000000E+00,1.34517252613403000000E+01,4.67943412583129000000E-01
549,9.15000000000000000000E+00,1.35043761786510000000E+01,5.06451878729777000000E-01
550,9.16666666666667000000E+00,1.35570270959616000000E+01,5.44960344876422000000E-01
551,9.18333333333333000000E+00,1.36096780132723000000E+01,5.83468811023071000000E-01
552,9.20000000000000000000E+00,1.36642062932116000000E+01,6.20822424347335000000E-01
553,9.21666666666667000000E+00,1.37304865848458000000E+01,6.50946830236197000000E-01
554,9.23333333333333000000E+00,1.37967668764800000000E+01,6.81071236125060000000E-01
555,9.25000000000000000000E+00,1.38630471681143000000E+01,7.11195642013926000000E-01
556,9.26666666666667000000E+00,1.39293274597485000000E+01,7.41320047902789000000E-01
557,9.28333333333333000000E+00,1.39971310980824000000E+01,7.67441289528440000000E-01
558,9.30000000000000000000E+00,1.40781039472692000000E+01,7.58955495034304000000E-01
559,9.31666666666667000000E+00,1.41590767964559000000E+01,7.50469700540170000000E-01
560,9.33333333333333000000E+00,1.42400496456427000000E+01,7.41983906046033000000E-01
561,9.35000000000000000000E+00,1.43210224948295000000E+01,7.33498111551898000000E-01
562,9.36666666666667000000E+00,1.44019953440162000000E+01,7.25012317057763000000E-01
563,9.38333333333333000000E+00,1.44933369913344000000E+01,6.76506976473405000000E-01
564,9.40000000000000000000E+00,1.45884935478687000000E+01,6.13277563410442000000E-01
565,9.41666666666667000000E+00,1.46836501044029000000E+01,5.50048150347486000000E-01
566,9.43333333333333000000E+00,1.47788066609372000000E+01,4.86818737284523000000E-01
567,9.45000000000000000000E+00,1.48739632174714000000E+01,4.23589324221560000000E-01
568,9.46666666666667000000E+00,1.49728203454147000000E+01,3.59674226598202000000E-01
569,9.48333333333333000000E+00,1.50783024433688000000E+01,2.94531578105676000000E-01
570,9.50000000000000000000E+00,1.51837845413229000000E+01,2.29388929613144000000E-01
